Datetime,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,DOW,PYPL,KHC,T
2022/1/1,0,0,0,1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,0,1,0,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,-1,0,1,0,1,1,0,0
2022/1/2,-1,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,-1,0,0,1,1,-1,-1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,-1,1,0,0,0,0,-1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,0,0,1,0,1,-1,1,-1,0,0,0
2022/1/3,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,-1,-1,0,-1,1,0,1,1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,-1,0,0,0,0,0,0,1,0,-1,1,1,1,0,0,0,-1,-1,0,1,0,1,-1,1,0,0,0,0
2022/1/4,0,0,-1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,-1,1,0,0,0,0,1,0,1,0,0,1,-1,0,0,1,0,-1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,-1,1,1,0,1,1,1,0,1,0,0
2022/1/5,0,0,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,-1,0,0,0,-1,0,1,1,-1,1,0,0,0,-1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
2022/1/6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1,0,0,0,0,0,0
2022/1/7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,1,1,0,-1,0,0,1,1,0,0,-1,-1,0,-1,0,1,0,1,0,0,0,0,0,0
2022/1/8,0,0,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0
2022/1/9,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,-1,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0
2022/1/10,0,0,0,0,0,0,1,0,0,1,0,1,0,-1,0,0,0,1,1,-1,0,0,0,0,0,1,1,-1,0,0,-1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,0,1,1,0,0,0,0,1,0,-1,0,0,0,1
2022/1/11,0,0,0,1,0,0,1,0,0,-1,1,0,1,0,1,0,0,1,1,-1,0,-1,-1,1,0,0,-1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,-1,1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0
2022/1/12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,1,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,-1,-1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-1,0,1,0,1,0,1,-1,1
2022/1/13,0,1,0,1,1,-1,1,0,0,1,1,0,-1,0,0,0,-1,0,1,0,0,0,1,0,0,1,0,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,1,0,0,0,0,0,-1,1,1,1,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,1,1,0,-1,-1,0,1,0,0
2022/1/14,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,1,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,1,1,0,-1,1,0,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,1,0,0,1,0,-1,1,-1,-1,-1,0,0,1,0,0,0,1,-1,-1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,-1,1,0,-1,0,1,0,-1,0,0,0,0
2022/1/15,0,0,1,1,1,0,0,1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
2022/1/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,1,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
2022/1/17,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,-1,1,0,0,0
2022/1/18,0,1,0,1,0,0,-1,0,0,0,1,-1,-1,1,0,0,0,1,0,-1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,1,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,1,-1,1,0,0,0,0,1,0
2022/1/19,0,0,0,0,0,-1,0,0,0,0,0,1,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,1,0,0,-1,0,-1,0,-1,0,0,1,0,-1,0,0,0,0
2022/1/20,0,0,0,0,-1,-1,1,0,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,0,1,1,-1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-1,0,0,1,1,0,-1,-1,0,1,1,0,0,-1,-1,-1,0,0,1,-1,0,0
2022/1/21,0,0,-1,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,1,-1,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,1,1,0,1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,1,1,1,1,1,1,0,-1,1,0,0,0,0,-1,1,1,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,1,0,0,-1,0,0,1
2022/1/22,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,1,0,-1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0
2022/1/23,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,-1,0,0
