date,tic,popularity
2004-01-01,AAPL,0.04
2004-01-01,ABBV,0.0
2004-01-01,ABT,0.41
2004-01-01,ACN,0.41
2004-01-01,ADBE,0.05
2004-01-01,AIG,0.1
2004-01-01,AMD,0.94
2004-01-01,AMGN,0.0
2004-01-01,AMT,0.24
2004-01-01,AMZN,0.0
2004-01-01,AVGO,0.0
2004-01-01,AXP,0.0
2004-01-01,BA,0.29
2004-01-01,BAC,0.17
2004-01-01,BK,0.06
2004-01-01,BKNG,0.0
2004-01-01,BLK,0.0
2004-01-01,BMY,0.0
2004-01-01,BRK-B,0.0
2004-01-01,C,0.85
2004-01-01,CAT,0.64
2004-01-01,CHTR,0.0
2004-01-01,CL,0.05
2004-01-01,CMCSA,0.0
2004-01-01,COF,0.0
2004-01-01,COP,0.05
2004-01-01,COST,0.49
2004-01-01,CRM,0.06
2004-01-01,CSCO,0.0
2004-01-01,CVS,0.13
2004-01-01,CVX,0.0
2004-01-01,DE,0.68
2004-01-01,DHR,0.0
2004-01-01,DIS,0.0
2004-01-01,DOW,0.06
2004-01-01,DUK,0.0
2004-01-01,EMR,0.0
2004-01-01,F,0.22
2004-01-01,FDX,0.0
2004-01-01,GD,0.02
2004-01-01,GE,0.1
2004-01-01,GILD,0.0
2004-01-01,GM,0.73
2004-01-01,GOOG,0.03
2004-01-01,GOOGL,0.02
2004-01-01,GS,0.33
2004-01-01,HD,0.03
2004-01-01,HON,0.0
2004-01-01,IBM,0.15
2004-01-01,INTC,0.0
2004-01-01,INTU,0.0
2004-01-01,JNJ,0.0
2004-01-01,JPM,0.0
2004-01-01,KHC,0.0
2004-01-01,KO,0.07
2004-01-01,LIN,0.07
2004-01-01,LLY,0.0
2004-01-01,LMT,0.0
2004-01-01,LOW,0.6
2004-01-01,MA,0.46
2004-01-01,MCD,0.01
2004-01-01,MDLZ,0.0
2004-01-01,MDT,0.01
2004-01-01,MET,0.42
2004-01-01,META,0.11
2004-01-01,MMM,0.02
2004-01-01,MO,0.28
2004-01-01,MRK,0.0
2004-01-01,MS,0.82
2004-01-01,MSFT,0.01
2004-01-01,NEE,0.01
