date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,DOW,PYPL,KHC
Jan 2004,0.04,0.0,0.41,0.41,0.05,0.1,0.94,0.0,0.24,0.0,0.0,0.0,0.29,0.17,0.06,0.0,0.0,0.0,0.0,0.85,0.64,0.0,0.05,0.0,0.0,0.05,0.49,0.06,0.0,0.13,0.0,0.68,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.1,0.0,0.73,0.03,0.02,0.33,0.03,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.6,0.46,0.01,0.0,0.01,0.42,0.11,0.02,0.28,0.0,0.82,0.01,0.01,0.0,0.01,0.01,0.02,0.47,0.05,0.08,0.13,0.0,0.01,0.0,0.0,0.3,0.0,0.62,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.3,0.94,0.43,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Feb 2004,0.03,0.0,0.38,0.43,0.04,0.12,0.89,0.0,0.24,0.0,0.0,0.0,0.27,0.15,0.06,0.0,0.0,0.0,0.0,0.96,0.6,0.0,0.05,0.0,0.0,0.05,0.5,0.06,0.0,0.14,0.0,0.68,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.1,0.0,0.66,0.03,0.02,0.28,0.03,0.0,0.16,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.0,0.53,0.47,0.01,0.0,0.01,0.37,0.11,0.02,0.27,0.0,0.8,0.01,0.01,0.0,0.01,0.01,0.01,0.48,0.05,0.08,0.12,0.0,0.01,0.0,0.0,0.3,0.0,0.62,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.29,0.89,0.45,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Mar 2004,0.04,0.0,0.41,0.46,0.05,0.1,0.83,0.0,0.25,0.0,0.0,0.0,0.28,0.18,0.06,0.0,0.0,0.0,0.0,0.91,0.64,0.0,0.05,0.0,0.0,0.04,0.51,0.07,0.0,0.13,0.0,0.74,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.1,0.01,0.63,0.03,0.02,0.3,0.03,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.54,0.51,0.01,0.0,0.01,0.34,0.13,0.02,0.27,0.0,0.78,0.01,0.01,0.0,0.02,0.01,0.01,0.48,0.06,0.07,0.14,0.0,0.01,0.0,0.0,0.3,0.0,0.61,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.29,0.87,0.46,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Apr 2004,0.04,0.0,0.42,0.39,0.05,0.11,0.8,0.0,0.22,0.0,0.0,0.0,0.26,0.19,0.06,0.0,0.0,0.0,0.0,0.92,0.59,0.0,0.05,0.0,0.0,0.04,0.53,0.06,0.0,0.13,0.0,0.7,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.1,0.0,0.61,0.03,0.02,0.29,0.03,0.0,0.14,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.54,0.53,0.01,0.0,0.01,0.35,0.12,0.02,0.29,0.0,0.77,0.01,0.01,0.0,0.02,0.01,0.01,0.47,0.05,0.07,0.13,0.0,0.01,0.0,0.0,0.3,0.0,0.64,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.28,0.83,0.46,0.0,0.0,0.0,0.0,0.06,0.0,0.0
May 2004,0.02,0.01,0.41,0.3,0.04,0.1,0.78,0.0,0.2,0.0,0.0,0.0,0.27,0.28,0.06,0.0,0.0,0.0,0.0,0.88,0.57,0.0,0.04,0.0,0.0,0.04,0.5,0.07,0.0,0.13,0.0,0.75,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.1,0.0,0.6,0.03,0.02,0.28,0.03,0.0,0.14,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.54,0.51,0.01,0.0,0.01,0.35,0.11,0.02,0.29,0.0,0.75,0.0,0.01,0.0,0.01,0.01,0.01,0.51,0.04,0.07,0.13,0.0,0.02,0.0,0.0,0.3,0.0,0.61,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.28,0.8,0.45,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Jun 2004,0.04,0.0,0.43,0.31,0.04,0.11,0.78,0.0,0.24,0.0,0.0,0.0,0.28,0.68,0.06,0.0,0.0,0.0,0.0,0.86,0.56,0.0,0.04,0.0,0.0,0.04,0.5,0.07,0.0,0.13,0.0,0.72,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.1,0.0,0.59,0.03,0.02,0.31,0.03,0.0,0.15,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.54,0.56,0.01,0.0,0.01,0.37,0.12,0.02,0.29,0.0,0.75,0.0,0.01,0.0,0.02,0.0,0.01,0.5,0.05,0.07,0.12,0.0,0.02,0.0,0.0,0.27,0.0,0.67,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.31,0.82,0.43,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Jul 2004,0.05,0.0,0.41,0.31,0.04,0.12,0.81,0.0,0.21,0.0,0.0,0.0,0.3,0.76,0.05,0.0,0.0,0.0,0.0,0.82,0.62,0.0,0.05,0.0,0.0,0.04,0.48,0.06,0.0,0.14,0.0,0.69,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.1,0.0,0.62,0.03,0.02,0.32,0.04,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.56,0.58,0.01,0.0,0.01,0.37,0.11,0.02,0.34,0.0,0.75,0.01,0.01,0.0,0.01,0.0,0.01,0.5,0.04,0.07,0.13,0.0,0.02,0.0,0.0,0.3,0.0,0.62,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.32,0.85,0.42,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Aug 2004,0.04,0.0,0.4,0.31,0.05,0.12,0.95,0.0,0.25,0.0,0.0,0.0,0.31,0.1,0.06,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.05,0.0,0.0,0.04,0.49,0.06,0.0,0.13,0.0,0.68,0.0,0.0,0.0,0.0,0.19,0.0,0.02,0.11,0.01,0.64,0.12,0.02,0.3,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.51,0.55,0.01,0.0,0.01,0.38,0.11,0.02,0.3,0.0,0.79,0.0,0.01,0.0,0.02,0.01,0.01,0.5,0.04,0.07,0.12,0.0,0.01,0.0,0.0,0.31,0.0,0.64,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.31,0.85,0.47,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Sep 2004,0.04,0.0,0.38,0.31,0.04,0.11,0.96,0.0,0.25,0.0,0.0,0.0,0.32,0.15,0.06,0.0,0.0,0.0,0.0,0.87,0.63,0.0,0.04,0.0,0.0,0.04,0.48,0.07,0.0,0.13,0.0,0.77,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.1,0.0,0.63,0.08,0.03,0.28,0.04,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.48,0.53,0.01,0.0,0.01,0.38,0.11,0.02,0.3,0.0,0.72,0.0,0.01,0.0,0.01,0.01,0.02,0.5,0.04,0.07,0.12,0.0,0.01,0.0,0.0,0.3,0.0,0.63,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.3,0.92,0.43,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Oct 2004,0.08,0.0,0.41,0.3,0.04,0.14,1.0,0.0,0.22,0.0,0.0,0.0,0.3,0.15,0.06,0.0,0.0,0.0,0.0,0.86,0.57,0.0,0.04,0.0,0.0,0.04,0.47,0.07,0.0,0.12,0.0,0.74,0.0,0.0,0.0,0.0,0.19,0.0,0.02,0.1,0.0,0.64,0.09,0.03,0.29,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.47,0.49,0.01,0.0,0.01,0.4,0.11,0.02,0.3,0.0,0.7,0.01,0.01,0.0,0.01,0.01,0.02,0.48,0.05,0.07,0.12,0.0,0.01,0.0,0.0,0.3,0.0,0.62,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.28,0.9,0.42,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Nov 2004,0.09,0.0,0.41,0.32,0.04,0.11,0.89,0.0,0.21,0.0,0.0,0.0,0.28,0.16,0.06,0.0,0.0,0.0,0.0,0.88,0.56,0.0,0.04,0.0,0.0,0.04,0.49,0.06,0.0,0.12,0.0,0.77,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.1,0.0,0.57,0.09,0.03,0.3,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.47,0.49,0.01,0.0,0.01,0.39,0.11,0.02,0.27,0.0,0.73,0.01,0.01,0.0,0.02,0.01,0.02,0.53,0.05,0.07,0.12,0.0,0.01,0.0,0.0,0.31,0.0,0.65,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.29,0.88,0.43,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Dec 2004,0.1,0.0,0.42,0.24,0.04,0.11,0.99,0.0,0.24,0.0,0.0,0.0,0.25,0.13,0.07,0.0,0.0,0.0,0.0,0.84,0.59,0.0,0.04,0.0,0.0,0.04,0.46,0.05,0.0,0.12,0.0,0.68,0.0,0.0,0.0,0.0,0.21,0.0,0.01,0.1,0.0,0.56,0.08,0.03,0.3,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.1,0.07,0.0,0.0,0.41,0.52,0.01,0.0,0.01,0.41,0.1,0.02,0.3,0.0,0.67,0.0,0.01,0.0,0.01,0.01,0.02,0.53,0.05,0.07,0.13,0.0,0.01,0.0,0.0,0.31,0.0,0.61,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.35,1.0,0.42,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Jan 2005,0.15,0.0,0.4,0.26,0.04,0.12,0.96,0.0,0.26,0.0,0.0,0.0,0.32,0.2,0.06,0.0,0.0,0.0,0.0,0.78,0.56,0.0,0.04,0.0,0.0,0.04,0.49,0.06,0.0,0.12,0.0,0.65,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.1,0.01,0.62,0.07,0.03,0.3,0.05,0.0,0.13,0.0,0.0,0.0,0.0,0.09,0.06,0.0,0.0,0.51,0.53,0.01,0.0,0.01,0.4,0.1,0.02,0.28,0.0,0.72,0.0,0.02,0.0,0.01,0.01,0.02,0.48,0.05,0.07,0.13,0.0,0.01,0.0,0.0,0.3,0.0,0.6,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.29,0.99,0.42,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Feb 2005,0.2,0.0,0.36,0.27,0.05,0.12,0.87,0.0,0.25,0.0,0.0,0.0,0.3,0.18,0.06,0.0,0.0,0.0,0.0,0.83,0.59,0.0,0.04,0.0,0.0,0.04,0.51,0.06,0.0,0.12,0.0,0.71,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.1,0.01,0.63,0.09,0.03,0.3,0.05,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.49,0.54,0.01,0.0,0.01,0.44,0.11,0.02,0.32,0.0,0.74,0.0,0.01,0.0,0.01,0.01,0.01,0.49,0.06,0.07,0.14,0.0,0.02,0.0,0.0,0.31,0.0,0.65,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.28,0.92,0.45,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Mar 2005,0.14,0.0,0.37,0.24,0.05,0.14,0.82,0.0,0.22,0.0,0.0,0.0,0.29,0.2,0.06,0.0,0.0,0.0,0.0,0.8,0.54,0.0,0.04,0.0,0.0,0.04,0.51,0.06,0.0,0.12,0.0,0.81,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.1,0.0,0.65,0.07,0.04,0.33,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.47,0.54,0.01,0.0,0.01,0.42,0.11,0.02,0.31,0.0,0.7,0.0,0.02,0.0,0.01,0.01,0.01,0.41,0.05,0.07,0.14,0.0,0.01,0.0,0.0,0.32,0.0,0.63,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.29,0.86,0.49,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Apr 2005,0.2,0.0,0.36,0.23,0.05,0.15,0.78,0.0,0.24,0.0,0.0,0.0,0.3,0.22,0.06,0.0,0.0,0.0,0.0,0.82,0.6,0.0,0.04,0.0,0.0,0.03,0.53,0.06,0.0,0.12,0.0,0.78,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.1,0.01,0.74,0.1,0.04,0.33,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.48,0.57,0.01,0.0,0.01,0.42,0.11,0.02,0.33,0.0,0.75,0.01,0.01,0.0,0.02,0.01,0.02,0.46,0.06,0.07,0.13,0.0,0.01,0.0,0.0,0.35,0.0,0.65,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.27,0.8,0.44,0.0,0.0,0.0,0.0,0.06,0.0,0.0
May 2005,0.14,0.0,0.37,0.2,0.05,0.12,0.78,0.0,0.23,0.0,0.0,0.0,0.29,0.29,0.06,0.0,0.0,0.0,0.0,0.76,0.56,0.0,0.05,0.0,0.0,0.04,0.5,0.06,0.0,0.12,0.0,0.76,0.0,0.0,0.0,0.0,0.24,0.0,0.01,0.11,0.01,0.63,0.12,0.04,0.34,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.47,0.59,0.01,0.0,0.01,0.42,0.1,0.02,0.32,0.0,0.69,0.01,0.02,0.0,0.02,0.01,0.02,0.43,0.05,0.07,0.13,0.0,0.01,0.0,0.0,0.34,0.0,0.67,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.27,0.78,0.44,0.0,0.0,0.0,0.0,0.06,0.0,0.0
Jun 2005,0.18,0.0,0.39,0.21,0.05,0.13,0.83,0.0,0.23,0.0,0.0,0.0,0.34,0.81,0.06,0.0,0.0,0.0,0.0,0.79,0.55,0.0,0.05,0.0,0.0,0.04,0.48,0.06,0.0,0.13,0.0,0.76,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.11,0.01,0.79,0.17,0.04,0.33,0.04,0.0,0.12,0.0,0.0,0.0,0.01,0.07,0.07,0.0,0.0,0.44,0.61,0.01,0.0,0.01,0.44,0.1,0.02,0.33,0.0,0.71,0.01,0.02,0.0,0.02,0.02,0.03,0.51,0.06,0.08,0.13,0.0,0.01,0.0,0.0,0.35,0.0,0.71,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.29,0.77,0.42,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Jul 2005,0.19,0.0,0.4,0.21,0.05,0.13,0.84,0.0,0.26,0.01,0.0,0.0,0.33,1.0,0.05,0.0,0.0,0.0,0.0,0.78,0.57,0.0,0.04,0.0,0.0,0.04,0.53,0.06,0.0,0.12,0.0,0.71,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.11,0.01,0.78,0.17,0.05,0.34,0.05,0.0,0.12,0.0,0.0,0.0,0.01,0.07,0.07,0.0,0.0,0.46,0.62,0.01,0.0,0.01,0.44,0.1,0.02,0.36,0.0,0.71,0.01,0.01,0.0,0.01,0.01,0.03,0.5,0.06,0.07,0.13,0.0,0.01,0.0,0.0,0.36,0.0,0.66,0.0,0.03,0.0,0.0,0.02,0.01,0.0,0.31,0.77,0.42,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Aug 2005,0.17,0.0,0.38,0.2,0.05,0.13,0.85,0.0,0.26,0.0,0.0,0.0,0.34,0.11,0.06,0.0,0.0,0.0,0.0,0.77,0.58,0.0,0.05,0.0,0.0,0.04,0.47,0.06,0.0,0.12,0.0,0.71,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.11,0.01,0.72,0.13,0.06,0.32,0.05,0.0,0.11,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.43,0.64,0.01,0.0,0.01,0.42,0.1,0.02,0.38,0.0,0.75,0.01,0.01,0.0,0.02,0.02,0.02,0.46,0.06,0.08,0.14,0.0,0.01,0.0,0.0,0.37,0.0,0.68,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.32,0.77,0.45,0.0,0.0,0.0,0.0,0.05,0.0,0.0
